index	tf_name	rss	rss_pval	gene_symbol	gene_id
CT1-R1	HSF1	0.287264228494922	1	AP1B1,AURKB,CENPF,CKS1B,DLGAP5,PTTG1,SMC4,TOP2A,TPX2	ENSG00000100280,ENSG00000178999,ENSG00000117724,ENSG00000173207,ENSG00000126787,ENSG00000164611,ENSG00000113810,ENSG00000131747,ENSG00000088325
CT1-R2	AP2D	0.285193930526793	1	ATAD2,BIRC5,CKS1B,CKS2,DEPDC1,DIAPH3,DLGAP5,FANCI,GGH,KIF20B,LARP1B,MCM3,MCM7,MELK,MKI67,MTHFD1L,NCAPD2,NUSAP1,PRC1,PSME4,SENP5,SETD3,TACC3,TMX1,TUBG1,UFD1	ENSG00000156802,ENSG00000089685,ENSG00000173207,ENSG00000123975,ENSG00000024526,ENSG00000139734,ENSG00000126787,ENSG00000140525,ENSG00000137563,ENSG00000138182,ENSG00000138709,ENSG00000112118,ENSG00000166508,ENSG00000165304,ENSG00000148773,ENSG00000120254,ENSG00000010292,ENSG00000137804,ENSG00000198901,ENSG00000068878,ENSG00000119231,ENSG00000183576,ENSG00000013810,ENSG00000139921,ENSG00000131462,ENSG00000070010
CT1-R3	ZN770	0.284572455368543	1	FLRT3,ABL1,ABT1,ACO2,ACOT7,ACTL6A,ADGRA3,AK2,AKIP1,AKT2,ALMS1,ANKLE2,ANLN,AP1B1,ASAP2,ASPM,ATAD2,ATAD5,ATG4B,AURKA,AURKB,BAG4,BARD1,BIRC5,BLOC1S5,BMP2K,BOLA2,BOLA3,BPGM,BRCA2,BRCC3,BUB1,BUB1B,C1orf174,C1orf35,C21orf58,C2orf68,CCDC117,CCDC127,CCNA2,CCNB1,CCNB2,CCP110,CD320,CDC20,CDC25C,CDCA3,CDCA4,CDK1,CDKN3,CDT1,CEMIP2,CENPA,CENPE,CENPF,CENPK,CENPN,CENPU,CEP295,CEP44,CEP57L1,CEP68,CEP97,CERK,CHAF1A,CHEK1,CHKA,CKAP2,CKAP2L,CKS1B,CKS2,CLASP2,CLSPN,COPG1,CORO1C,CPSF7,CRCP,CRISPLD1,CS,CTPS1,CYP20A1,DDI2,DEPDC1,DERL1,DHCR24,DHRS7B,DIAPH3,DIP2A,DLG3,DLGAP5,DPM1,DSN1,DYNLL2,ECT2,EHBP1,EID2,ELOVL1,EMC8,EMSY,ENOSF1,ERAL1,ERBB2,ERCC6L2,EXOSC10,EXOSC9,EXT2,FANCI,FAR1,FBXO5,FMR1,FN3KRP,FOXK2,FOXM1,FRYL,G2E3,GFM1,GGH,GINS1,GINS2,GINS4,GJC1,GLCCI1,GRPEL1,GSKIP,GTF3C2,GTSE1,GVQW3,HACD2,HAUS6,HIC2,HILPDA,HMGB2,HMMR,HPRT1,HSPH1,ICMT,INIP,INTS1,ISG20L2,KIF11,KIF14,KIF18A,KIF20B,KIF22,KIF23,KIF2C,KIF4A,KNL1,KNSTRN,KNTC1,KPNA2,LAS1L,LMNB2,LRRC57,LSM14B,LYRM1,MAD2L1,MAGI1,MALT1,MAP3K4,MBD3,MCM3,MCM3AP,MCM4,MCM6,MCM7,MCMBP,MCRS1,MDM2,MED21,MELK,METTL17,MGME1,MKI67,MMS22L,MPHOSPH9,MRPS18A,MSX2,MTHFD1L,MXD3,MYBL2,MZT1,NAA40,NCAPD2,NCAPG,NDC80,NEDD1,NET1,NIF3L1,NNAT,NUDT14,NUDT15,NUF2,NUP188,NUP205,NUSAP1,OAT,OGFOD1,ORC3,ORC6,PACSIN2,PAIP2B,PAK4,PARP2,PARPBP,PBK,PCGF6,PCLAF,PCNA,PCNT,PDE7A,PHC2,PHTF2,PITPNA,PKP4,PLK1,PNKP,PNPLA8,POLD3,POP7,PPAT,PPP1R8,PPP6R1,PRC1,PRIM1,PRMT5,PRORP,PRPF19,PRPS1,PRR11,PRRX2,PSME4,PSMG4,PTTG1,RAD51AP1,RAD51C,RBM38,RDH14,RECQL,REV1,RFC3,RFC4,RMI1,RMI2,RNASEH2B,RNF138,RNF169,RPA1,RPA2,RPS6KA3,RRM1,RRM2,SACS,SAP30,SAP30L,SASS6,SCAF1,SDHA,SENP5,SEPHS2,SEPTIN8,SF3A1,SGO1,SGO2,SKI,SKP2,SLC11A2,SLC1A3,SLC25A13,SLC39A6,SMC4,SMG7,SPAST,SPDL1,SRGAP2B,SRR,SWAP70,TACC3,TEX10,THAP5,TIMM50,TK1,TMEM106C,TMEM181,TMX1,TOP2A,TPX2,TRABD,TRIAP1,TRIP6,TRRAP,TSC1,TTF2,TUBA1C,TUBB4B,TUBG1,TYMS,U2AF2,UBE2C,UBE2S,UBE2T,UBL4A,UBR3,UBTD2,UCHL5,UFD1,UPF1,USP51,VKORC1L1,VRK1,XPO7,XRCC2,XXYLT1,YEATS4,YTHDC2,ZADH2,ZC3H4,ZNF813,ZNF830,ZWINT	ENSG00000125848,ENSG00000097007,ENSG00000146109,ENSG00000100412,ENSG00000097021,ENSG00000136518,ENSG00000152990,ENSG00000004455,ENSG00000166452,ENSG00000105221,ENSG00000116127,ENSG00000176915,ENSG00000011426,ENSG00000100280,ENSG00000151693,ENSG00000066279,ENSG00000156802,ENSG00000176208,ENSG00000168397,ENSG00000087586,ENSG00000178999,ENSG00000156735,ENSG00000138376,ENSG00000089685,ENSG00000188428,ENSG00000138756,ENSG00000183336,ENSG00000163170,ENSG00000172331,ENSG00000139618,ENSG00000185515,ENSG00000169679,ENSG00000156970,ENSG00000198912,ENSG00000143793,ENSG00000160298,ENSG00000168887,ENSG00000159873,ENSG00000164366,ENSG00000145386,ENSG00000134057,ENSG00000157456,ENSG00000103540,ENSG00000167775,ENSG00000117399,ENSG00000158402,ENSG00000111665,ENSG00000170779,ENSG00000170312,ENSG00000100526,ENSG00000167513,ENSG00000135048,ENSG00000115163,ENSG00000138778,ENSG00000117724,ENSG00000123219,ENSG00000166451,ENSG00000151725,ENSG00000166004,ENSG00000164118,ENSG00000183137,ENSG00000011523,ENSG00000182504,ENSG00000100422,ENSG00000167670,ENSG00000149554,ENSG00000110721,ENSG00000136108,ENSG00000169607,ENSG00000173207,ENSG00000123975,ENSG00000163539,ENSG00000092853,ENSG00000181789,ENSG00000110880,ENSG00000149532,ENSG00000241258,ENSG00000121005,ENSG00000062485,ENSG00000171793,ENSG00000119004,ENSG00000197312,ENSG00000024526,ENSG00000136986,ENSG00000116133,ENSG00000109016,ENSG00000139734,ENSG00000160305,ENSG00000082458,ENSG00000126787,ENSG00000000419,ENSG00000149636,ENSG00000264364,ENSG00000114346,ENSG00000115504,ENSG00000176396,ENSG00000066322,ENSG00000131148,ENSG00000158636,ENSG00000132199,ENSG00000132591,ENSG00000141736,ENSG00000182150,ENSG00000171824,ENSG00000123737,ENSG00000151348,ENSG00000140525,ENSG00000197601,ENSG00000112029,ENSG00000102081,ENSG00000141560,ENSG00000141568,ENSG00000111206,ENSG00000075539,ENSG00000092140,ENSG00000168827,ENSG00000137563,ENSG00000101003,ENSG00000131153,ENSG00000147536,ENSG00000182963,ENSG00000106415,ENSG00000109519,ENSG00000100744,ENSG00000115207,ENSG00000075218,ENSG00000179240,ENSG00000206527,ENSG00000147874,ENSG00000169635,ENSG00000135245,ENSG00000164104,ENSG00000072571,ENSG00000165704,ENSG00000120694,ENSG00000116237,ENSG00000148153,ENSG00000164880,ENSG00000143319,ENSG00000138160,ENSG00000118193,ENSG00000121621,ENSG00000138182,ENSG00000079616,ENSG00000137807,ENSG00000142945,ENSG00000090889,ENSG00000137812,ENSG00000128944,ENSG00000184445,ENSG00000182481,ENSG00000001497,ENSG00000176619,ENSG00000180979,ENSG00000149657,ENSG00000102897,ENSG00000164109,ENSG00000151276,ENSG00000172175,ENSG00000085511,ENSG00000071655,ENSG00000112118,ENSG00000160294,ENSG00000104738,ENSG00000076003,ENSG00000166508,ENSG00000197771,ENSG00000187778,ENSG00000135679,ENSG00000152944,ENSG00000165304,ENSG00000165792,ENSG00000125871,ENSG00000148773,ENSG00000146263,ENSG00000051825,ENSG00000096080,ENSG00000120149,ENSG00000120254,ENSG00000213347,ENSG00000101057,ENSG00000204899,ENSG00000110583,ENSG00000010292,ENSG00000109805,ENSG00000080986,ENSG00000139350,ENSG00000173848,ENSG00000196290,ENSG00000053438,ENSG00000183828,ENSG00000136159,ENSG00000143228,ENSG00000095319,ENSG00000155561,ENSG00000137804,ENSG00000065154,ENSG00000087263,ENSG00000135336,ENSG00000091651,ENSG00000100266,ENSG00000124374,ENSG00000130669,ENSG00000129484,ENSG00000185480,ENSG00000168078,ENSG00000156374,ENSG00000166803,ENSG00000132646,ENSG00000160299,ENSG00000205268,ENSG00000134686,ENSG00000006576,ENSG00000174238,ENSG00000144283,ENSG00000166851,ENSG00000039650,ENSG00000135241,ENSG00000077514,ENSG00000172336,ENSG00000128059,ENSG00000117751,ENSG00000105063,ENSG00000198901,ENSG00000198056,ENSG00000100462,ENSG00000100890,ENSG00000110107,ENSG00000147224,ENSG00000068489,ENSG00000167157,ENSG00000068878,ENSG00000180822,ENSG00000164611,ENSG00000111247,ENSG00000108384,ENSG00000132819,ENSG00000240857,ENSG00000004700,ENSG00000135945,ENSG00000133119,ENSG00000163918,ENSG00000178966,ENSG00000175643,ENSG00000136104,ENSG00000134758,ENSG00000166439,ENSG00000132383,ENSG00000117748,ENSG00000177189,ENSG00000167325,ENSG00000171848,ENSG00000151835,ENSG00000164105,ENSG00000164576,ENSG00000156876,ENSG00000126461,ENSG00000073578,ENSG00000119231,ENSG00000179918,ENSG00000164402,ENSG00000099995,ENSG00000129810,ENSG00000163535,ENSG00000157933,ENSG00000145604,ENSG00000110911,ENSG00000079215,ENSG00000004864,ENSG00000141424,ENSG00000113810,ENSG00000116698,ENSG00000021574,ENSG00000040275,ENSG00000196369,ENSG00000167720,ENSG00000133789,ENSG00000013810,ENSG00000136891,ENSG00000177683,ENSG00000105197,ENSG00000167900,ENSG00000134291,ENSG00000146433,ENSG00000139921,ENSG00000131747,ENSG00000088325,ENSG00000170638,ENSG00000170855,ENSG00000087077,ENSG00000196367,ENSG00000165699,ENSG00000116830,ENSG00000167553,ENSG00000188229,ENSG00000131462,ENSG00000176890,ENSG00000063244,ENSG00000175063,ENSG00000108106,ENSG00000077152,ENSG00000102178,ENSG00000144357,ENSG00000168246,ENSG00000116750,ENSG00000070010,ENSG00000005007,ENSG00000247746,ENSG00000196715,ENSG00000100749,ENSG00000130227,ENSG00000196584,ENSG00000173950,ENSG00000127337,ENSG00000047188,ENSG00000180011,ENSG00000130749,ENSG00000198346,ENSG00000198783,ENSG00000122952
CT1-R4	ZN563	0.277130148721789	1	ATAD2,ATAD5,BIRC5,CENPF,CHEK1,CKS2,CLSPN,MAD2L1,MCM3,MKI67,NCAPD2,NUSAP1,PCLAF,TOP2A,TYMS,UBE2C,UBE2T,VRK1,YEATS4	ENSG00000156802,ENSG00000176208,ENSG00000089685,ENSG00000117724,ENSG00000149554,ENSG00000123975,ENSG00000092853,ENSG00000164109,ENSG00000112118,ENSG00000148773,ENSG00000010292,ENSG00000137804,ENSG00000166803,ENSG00000131747,ENSG00000176890,ENSG00000175063,ENSG00000077152,ENSG00000100749,ENSG00000127337
CT1-R5	MEF2B	0.270865299894949	1	ANLN,BIRC5,CENPE,CHEK1,CLSPN,ENOSF1,MKI67,NUSAP1,UBE2T,VRK1	ENSG00000011426,ENSG00000089685,ENSG00000138778,ENSG00000149554,ENSG00000092853,ENSG00000132199,ENSG00000148773,ENSG00000137804,ENSG00000077152,ENSG00000100749
CT1-R6	WT1	0.262779744409434	1	ANAPC15,ATAD2,ATAD5,ATIC,BARD1,BIRC5,BRCA2,CCNB1,CDK1,CENPF,CENPK,CENPU,CHEK1,CKS2,FANCI,G2E3,GGH,GOT1,HMMR,KIF20B,KIF2C,MAD2L1,MCM3,MCM7,MKI67,MYBL2,MZT1,NUP37,NUSAP1,PBK,PCLAF,PRC1,RCOR1,RFC4,RRAGA,SCYL1,SDHA,SGO2,TMTC3,TOP2A,TPX2,TUBG1,TYMS,UBE2C,UBE2T,VRK1,YEATS4,ZC3H4,ZWINT	ENSG00000110200,ENSG00000156802,ENSG00000176208,ENSG00000138363,ENSG00000138376,ENSG00000089685,ENSG00000139618,ENSG00000134057,ENSG00000170312,ENSG00000117724,ENSG00000123219,ENSG00000151725,ENSG00000149554,ENSG00000123975,ENSG00000140525,ENSG00000092140,ENSG00000137563,ENSG00000120053,ENSG00000072571,ENSG00000138182,ENSG00000142945,ENSG00000164109,ENSG00000112118,ENSG00000166508,ENSG00000148773,ENSG00000101057,ENSG00000204899,ENSG00000075188,ENSG00000137804,ENSG00000168078,ENSG00000166803,ENSG00000198901,ENSG00000089902,ENSG00000163918,ENSG00000155876,ENSG00000142186,ENSG00000073578,ENSG00000163535,ENSG00000139324,ENSG00000131747,ENSG00000088325,ENSG00000131462,ENSG00000176890,ENSG00000175063,ENSG00000077152,ENSG00000100749,ENSG00000127337,ENSG00000130749,ENSG00000122952
CT1-R7	PITX2	0.262221829224024	1	ANLN,ATAD2,ATAD5,AURKB,BIRC5,BRCA2,C21orf58,CCNB2,CDK1,CDKN3,CENPE,CENPF,CENPU,CEP295,CHEK1,CKS1B,CKS2,CLSPN,CYP20A1,DGCR8,DIAPH3,DLGAP5,FANCI,FBXO5,HMMR,ICMT,KIF20B,KIF22,KNL1,MAD2L1,MBD3,MCM3,MCM4,MCM7,MKI67,MYBL2,NCAPD2,NUSAP1,OAT,PCLAF,PCNA,PNPT1,POLD3,PRMT5,RFC3,RNF138,RNF2,RPA2,RRM2,SPICE1,TOP2A,TPX2,TTF2,TYMS,U2AF2,UBE2C,UBE2T,VRK1,YEATS4,ZC3H4,ZWINT	ENSG00000011426,ENSG00000156802,ENSG00000176208,ENSG00000178999,ENSG00000089685,ENSG00000139618,ENSG00000160298,ENSG00000157456,ENSG00000170312,ENSG00000100526,ENSG00000138778,ENSG00000117724,ENSG00000151725,ENSG00000166004,ENSG00000149554,ENSG00000173207,ENSG00000123975,ENSG00000092853,ENSG00000119004,ENSG00000128191,ENSG00000139734,ENSG00000126787,ENSG00000140525,ENSG00000112029,ENSG00000072571,ENSG00000116237,ENSG00000138182,ENSG00000079616,ENSG00000137812,ENSG00000164109,ENSG00000071655,ENSG00000112118,ENSG00000104738,ENSG00000166508,ENSG00000148773,ENSG00000101057,ENSG00000010292,ENSG00000137804,ENSG00000065154,ENSG00000166803,ENSG00000132646,ENSG00000138035,ENSG00000077514,ENSG00000100462,ENSG00000133119,ENSG00000134758,ENSG00000121481,ENSG00000117748,ENSG00000171848,ENSG00000163611,ENSG00000131747,ENSG00000088325,ENSG00000116830,ENSG00000176890,ENSG00000063244,ENSG00000175063,ENSG00000077152,ENSG00000100749,ENSG00000127337,ENSG00000130749,ENSG00000122952
CT1-R8	SALL4	0.26197974185471	1	ATAD2,ATAD5,BIRC5,BROX,CDK1,CENPF,CENPU,CHEK1,CKS2,CLSPN,MAD2L1,MCM3,MKI67,NCAPD2,NUSAP1,PBK,PCLAF,PRC1,TOP2A,TYMS,UBE2C,UBE2T,VRK1,YEATS4	ENSG00000156802,ENSG00000176208,ENSG00000089685,ENSG00000162819,ENSG00000170312,ENSG00000117724,ENSG00000151725,ENSG00000149554,ENSG00000123975,ENSG00000092853,ENSG00000164109,ENSG00000112118,ENSG00000148773,ENSG00000010292,ENSG00000137804,ENSG00000168078,ENSG00000166803,ENSG00000198901,ENSG00000131747,ENSG00000176890,ENSG00000175063,ENSG00000077152,ENSG00000100749,ENSG00000127337
CT1-R9	CPEB1	0.26132770709065	1	AAAS,ACTL6A,ACTR1B,ADGRA3,AKT2,ANAPC15,ANKLE2,ANLN,AP1M1,ARHGAP19,ASPM,ASRGL1,ATAD2,ATAD5,AURKA,AURKB,BARD1,BIRC5,BRCA2,BUB1B,CA14,CCDC138,CCM2,CCNA2,CCNB1,CCNB2,CDCA3,CDCA4,CDK1,CDKN3,CDT1,CENPE,CENPF,CENPK,CENPN,CENPU,CEP44,CHAF1A,CHEK1,CKAP2,CKAP2L,CKS1B,CKS2,CLSPN,CMC4,CPSF7,CTPS1,DEPDC1,DIAPH3,DLGAP5,DPM1,ECT2,ELOVL1,EMC8,ENOSF1,ERAL1,EXOSC9,EXT2,FANCI,FBXO5,FKBP5,FOXK2,G2E3,GINS2,GOSR2,GOT1,GSR,GTSE1,HAUS6,HELLS,HMGB2,HMMR,HSPG2,INTS1,ISG20L2,KIAA0586,KIF11,KIF14,KIF20B,KIF22,KIF23,KIF2C,KNL1,KPNA2,LEO1,MAD2L1,MAP4K3-DT,MASTL,MBD3,MCM3,MCM3AP,MCM4,MCM5,MCM6,MCM7,MKI67,MLST8,MMS22L,MPHOSPH9,MRPS18A,MTHFD1L,MYBL2,MZT1,NAA16,NAA40,NCAPD2,NCAPG,NDC80,NNAT,NNT,NT5C3A,NUF2,NUP155,NUP37,NUP85,NUSAP1,PARP2,PBK,PCGF6,PCLAF,PCNA,POLD3,POM121,PPP2R5D,PPP6C,PRC1,PRELID2,PRIM1,PRR11,PTTG1,RAD51AP1,RECQL,RFC3,RFC4,RNASEH2B,RNF138,RPA1,RPA2,RRAGA,RRM2,SDHA,SENP5,SF3A1,SGO2,SKIDA1,SLC25A13,SLF1,SMC4,SPICE1,SRGAP2B,SRR,STK3,TMEM106C,TMTC3,TMX1,TOP2A,TP53,TPX2,TUBA1C,TUBG1,TYMS,U2AF2,UBALD2,UBE2C,UBE2T,UBE4B,UXS1,VKORC1L1,VRK1,YEATS4,YTHDC2,ZMYM1,ZWINT	ENSG00000094914,ENSG00000136518,ENSG00000115073,ENSG00000152990,ENSG00000105221,ENSG00000110200,ENSG00000176915,ENSG00000011426,ENSG00000072958,ENSG00000213390,ENSG00000066279,ENSG00000162174,ENSG00000156802,ENSG00000176208,ENSG00000087586,ENSG00000178999,ENSG00000138376,ENSG00000089685,ENSG00000139618,ENSG00000156970,ENSG00000118298,ENSG00000163006,ENSG00000136280,ENSG00000145386,ENSG00000134057,ENSG00000157456,ENSG00000111665,ENSG00000170779,ENSG00000170312,ENSG00000100526,ENSG00000167513,ENSG00000138778,ENSG00000117724,ENSG00000123219,ENSG00000166451,ENSG00000151725,ENSG00000164118,ENSG00000167670,ENSG00000149554,ENSG00000136108,ENSG00000169607,ENSG00000173207,ENSG00000123975,ENSG00000092853,ENSG00000182712,ENSG00000149532,ENSG00000171793,ENSG00000024526,ENSG00000139734,ENSG00000126787,ENSG00000000419,ENSG00000114346,ENSG00000066322,ENSG00000131148,ENSG00000132199,ENSG00000132591,ENSG00000123737,ENSG00000151348,ENSG00000140525,ENSG00000112029,ENSG00000096060,ENSG00000141568,ENSG00000092140,ENSG00000131153,ENSG00000108433,ENSG00000120053,ENSG00000104687,ENSG00000075218,ENSG00000147874,ENSG00000119969,ENSG00000164104,ENSG00000072571,ENSG00000142798,ENSG00000164880,ENSG00000143319,ENSG00000100578,ENSG00000138160,ENSG00000118193,ENSG00000138182,ENSG00000079616,ENSG00000137807,ENSG00000142945,ENSG00000137812,ENSG00000182481,ENSG00000166477,ENSG00000164109,ENSG00000231312,ENSG00000120539,ENSG00000071655,ENSG00000112118,ENSG00000160294,ENSG00000104738,ENSG00000100297,ENSG00000076003,ENSG00000166508,ENSG00000148773,ENSG00000167965,ENSG00000146263,ENSG00000051825,ENSG00000096080,ENSG00000120254,ENSG00000101057,ENSG00000204899,ENSG00000172766,ENSG00000110583,ENSG00000010292,ENSG00000109805,ENSG00000080986,ENSG00000053438,ENSG00000112992,ENSG00000122643,ENSG00000143228,ENSG00000113569,ENSG00000075188,ENSG00000125450,ENSG00000137804,ENSG00000129484,ENSG00000168078,ENSG00000156374,ENSG00000166803,ENSG00000132646,ENSG00000077514,ENSG00000196313,ENSG00000112640,ENSG00000119414,ENSG00000198901,ENSG00000186314,ENSG00000198056,ENSG00000068489,ENSG00000164611,ENSG00000111247,ENSG00000004700,ENSG00000133119,ENSG00000163918,ENSG00000136104,ENSG00000134758,ENSG00000132383,ENSG00000117748,ENSG00000155876,ENSG00000171848,ENSG00000073578,ENSG00000119231,ENSG00000099995,ENSG00000163535,ENSG00000180592,ENSG00000004864,ENSG00000133302,ENSG00000113810,ENSG00000163611,ENSG00000196369,ENSG00000167720,ENSG00000104375,ENSG00000134291,ENSG00000139324,ENSG00000139921,ENSG00000131747,ENSG00000141510,ENSG00000088325,ENSG00000167553,ENSG00000131462,ENSG00000176890,ENSG00000063244,ENSG00000185262,ENSG00000175063,ENSG00000077152,ENSG00000130939,ENSG00000115652,ENSG00000196715,ENSG00000100749,ENSG00000127337,ENSG00000047188,ENSG00000197056,ENSG00000122952
CT1-R10	E2F6	0.259237073048676	1	ATAD2,ATAD5,BIRC5,C21orf58,CDK1,CENPU,CHEK1,CLSPN,FANCI,GGH,KIF20B,MAD2L1,MCM3,MCM4,MYBL2,NPAT,NUSAP1,PCLAF,PRC1,RAD51AP1,TOP2A,TPX2,TYMS,UBE2T,ZWINT	ENSG00000156802,ENSG00000176208,ENSG00000089685,ENSG00000160298,ENSG00000170312,ENSG00000151725,ENSG00000149554,ENSG00000092853,ENSG00000140525,ENSG00000137563,ENSG00000138182,ENSG00000164109,ENSG00000112118,ENSG00000104738,ENSG00000101057,ENSG00000149308,ENSG00000137804,ENSG00000166803,ENSG00000198901,ENSG00000111247,ENSG00000131747,ENSG00000088325,ENSG00000176890,ENSG00000077152,ENSG00000122952
