index,tf_name,rss,rss_pval,gene_symbol
CT2-R4,SP2,0.459276657606804,0.0572,AAK1;ABI2;ACP1;ACTR2;ADD1;ADSL;AEBP1;AFDN;AK3;ALKBH5;ANKRD11;ANXA11;APOBEC2;APRT;ARF3;ARID1A;ARL5A;ARPP19;ASAP1;ASH1L;ATP6V0D1;ATP6V1E1;ATXN1;ATXN7L3B;BAG3;BCLAF1;BMP7;BMPR2;BRD4;BTF3L4;BVES;C7orf50;CADM1;CBX6;CCDC69;CD151;CD99;CDK16;CERS6;CKAP4;CNN2;COMMD1;COPA;COPZ1;COX16;CPEB4;CUX1;CXADR;DAG1;DDB1;DDX1;DDX3X;DENND5A;DENR;DLD;DYNC1LI1;EFEMP2;EIF2S3;EIF3I;EIF3J;EIF4EBP2;EIF4G1;EIF4G3;EIF4H;ENAH;EPM2AIP1;EPN1;ERP29;FAAP20;FARP1;FAT1;FGD6;FIBP;FKBP8;FSTL1;G3BP1;GADD45A;GATA6;GDI2;GNB1;GNB2;GNG12;GRN;GTF2H5;HDAC2;HDDC2;HIPK2;HIPK3;HNRNPA0;HNRNPM;HSPA4;HSPG2;HUWE1;IGF1R;IGF2BP2;INPP5A;IPO7;ITGB1BP2;ITSN2;JTB;JUP;KDELR1;KDM5A;KDM5B;KIF13A;KIF1B;KPNA6;KRTCAP2;LAGE3;LAMB2;LAMC1;LAMTOR1;LAPTM4A;LGALS3BP;LIMS2;LPP;LTBP1;LYPLA1;MAN1A2;MAPK1IP1L;MAPRE1;MAPRE2;MCUR1;MIEN1;MITF;MKRN1;MLEC;MOCS2;MRPS18C;MRPS33;MRPS7;MTDH;MTFR1L;MYADM;NAA10;NASP;NEAT1;NECTIN2;NFIC;NHP2;NORAD;NPTN;NUTF2;OTUD6B-AS1;OXCT1;P4HB;PA2G4;PABPC4;PABPN1;PACS1;PAFAH1B2;PCGF5;PDHB;PDIA3;PDIA6;PERP;PFDN2;PGRMC1;PHACTR2;PHF10;PHF20L1;PICALM;PLEKHA1;PLEKHJ1;POLR2E;POLR2J3;PPM1G;PRDX4;PRKAG2;PRPF40A;PSMA3;PSMB2;PSMB4;PSMC1;PSMC3;PSMC5;PSMD1;PSMD2;PSMD7;PTOV1;PYGB;RAB13;RAB1A;RAB4A;RABAC1;RAD21;RAI14;RASAL2;RBM25;RBM3;RBM38;RBM4;REEP3;REEP5;RERE;REST;REX1BD;RNASEH2C;RNF11;RNPS1;ROCK1;ROR1;RPL7L1;RPN2;RSF1;RSL24D1;RTF1;RTN3;RUNX1T1;SDHA;SDHC;SEC62;SEMA5A;SF3B2;SH3PXD2A;SMARCA4;SMARCA5;SMARCC1;SMARCD3;SMCHD1;SNRNP70;SPINT2;SRSF2;SSNA1;STARD7;STAT3;STAU1;SYNGR2;TCAF1;TCEA1;THRAP3;TIMP3;TLN1;TMED10;TMED9;TMEM106C;TMEM147;TMEM245;TMEM59;TMX4;TOMM22;TRIM28;TRIM44;TRIM63;TRIP12;TUG1;UBE2K;UBE2S;UBXN1;UBXN4;USP22;USP9X;UTRN;VAMP2;VEZT;VGLL4;WDR45B;WLS;WWC2;XIRP1;YME1L1;YWHAG;YY1;ZCCHC24;ZFAND5;ZFAND6;ZFR;ZNF207;ZNF428;ZNF638
CT2-R5,SP1,0.459193142485619,0.0572,ABI2;ACTR2;ANKRD11;ANXA11;ARID1A;ARL5A;ARPP19;ATP6V1E1;BCLAF1;BMPR2;BRD4;CADM1;CD151;CD99;CDK16;CKAP4;COPZ1;CUX1;DAG1;DDB1;DDX1;DENND5A;DLD;DYNC1LI1;EFEMP2;EIF2S3;EIF3I;EIF4G1;EIF4H;ENAH;ERP29;FAAP20;FARP1;FKBP8;FSTL1;FUNDC2;GATA6;GDI2;GNB1;GNB2;GRN;GSTM3;HDAC2;HIPK2;HNRNPA0;HNRNPM;HSPG2;HUWE1;IPO7;KDELR1;KDM5B;KIF13A;KRTCAP2;LAMB2;LAMC1;LAPTM4A;LGALS3BP;LPP;MIEN1;MLEC;MRPL21;MRPS7;MTDH;MYADM;MYH10;NORAD;NPTN;P4HB;PA2G4;PACS1;PDIA3;PDIA6;PERP;PFDN2;POLR2E;PRMT2;PRPF40A;PSMB4;PSMD2;PSMD7;PTOV1;RAB1A;RABAC1;RAD21;RAI14;RBM3;REEP5;RPL7L1;RPN2;RSL24D1;RTF1;RTN3;SDHC;SEC62;SMARCA5;SMARCC1;SPINT2;TCAF1;TLN1;TMED10;TMEM147;TMEM245;TMEM59;TRIM28;UBE3A;UBXN4;USP22;VAMP2;WLS;YME1L1;YWHAG;YY1;ZNF207;ZNF428
CT2-R6,ZN770,0.45892879537657,0.0594,ABI2;ADD1;ANKRD11;ANXA11;APOBEC2;APRT;ARID1A;ARL5A;ARPP19;ATP6V0D1;ATP6V1E1;ATXN7L3B;BCLAF1;BMPR2;BRD4;C7orf50;CADM1;CD151;CD99;CDK16;CKAP4;COPA;COPZ1;COX16;CREM;CUX1;CWC15;DAG1;DDB1;DDX1;DDX3X;DENND5A;DLD;DYNC1LI1;EFEMP2;EIF2S3;EIF3I;EIF4G1;EIF4H;ENAH;ERP29;FAAP20;FARP1;FKBP8;FSTL1;FUNDC2;GATA6;GDI2;GNB1;GNB2;GRN;GRSF1;HDAC2;HDDC2;HEPH;HIPK2;HNRNPA0;HNRNPM;HSPA4;HSPG2;HUWE1;IL6ST;ILF2;IPO7;JTB;KDELR1;KDM5B;KIF13A;KRTCAP2;LAMB2;LAMC1;LAPTM4A;LGALS3BP;LPP;LTBP1;LYPLA1;MAPRE1;MAPRE2;METTL5;MGST1;MIEN1;MLEC;MPRIP;MRPL22;MRPS7;MTDH;MYADM;MYH10;NAA10;NASP;NORAD;NPTN;OAZ2;P4HB;PA2G4;PACS1;PAIP1;PDIA3;PDIA6;PERP;PFDN2;PIN4;POLR2E;PPM1G;PRKAG2;PRPF40A;PSMB2;PSMB4;PSMC1;PSMD1;PSMD2;PTOV1;RAB1A;RAB21;RAB4A;RAB5IF;RABAC1;RAD21;RBM3;RBM38;REEP3;REEP5;RPL7L1;RPN2;RSL24D1;RTF1;RTN3;SARNP;SDHA;SDHC;SEC62;SF3B2;SKA2;SLC25A11;SMARCA4;SMARCA5;SMARCC1;SPATS2L;SPINT2;STARD7;STAU1;SUMO3;TCAF1;TCP1;TIMP3;TLN1;TMED10;TMEM147;TMEM167A;TMEM245;TMEM59;TPM3;TRIM28;TRIM63;UBE3A;UBXN1;UBXN4;USP22;USP9X;VAMP2;WLS;XIRP1;YME1L1;YWHAG;YY1;ZCCHC24;ZFAND5
CT2-R7,SP3,0.457799853530369,0.0682,ABI2;ADD1;ANKRD11;ANXA11;APRT;ARID1A;ARL5A;ARPP19;ATP6V0D1;ATP6V1E1;ATXN7L3B;BCLAF1;BMPR2;BRD4;BTF3L4;C7orf50;CADM1;CD151;CD99;CDK16;CHMP3;CKAP4;COPA;COPZ1;COX16;CTSD;CUX1;CWC15;DAG1;DDB1;DDX1;DDX3X;DENND5A;DLD;DUSP3;DYNC1LI1;EFEMP2;EIF2S3;EIF3I;EIF4G1;EIF4H;ENAH;ERCC1;ERP29;FAAP20;FAM136A;FAM3A;FARP1;FIBP;FKBP8;FSTL1;G3BP1;GATA6;GDI2;GNB1;GNB2;GRN;GRSF1;HAGH;HDAC2;HDDC2;HEPH;HIPK2;HNRNPA0;HNRNPM;HSPA4;HSPG2;HUWE1;IL6ST;ILF2;IPO7;IVNS1ABP;KCNH2;KDELR1;KDM5B;KIF13A;KLHDC8B;KRTCAP2;LAMB2;LAMC1;LAPTM4A;LGALS3BP;LIMS2;LPP;LTBP1;LYPLA1;MAPRE2;METTL5;MGST1;MIEN1;MITF;MLEC;MLF1;MMADHC;MPRIP;MRPL22;MRPS15;MRPS33;MRPS7;MTDH;MTFR1L;MYADM;MYH10;NAA10;NASP;NFIC;NORAD;NPTN;NXN;OAZ2;P4HB;PACS1;PAIP1;PDIA3;PDIA6;PEA15;PERP;POLR2E;PPM1G;PRKAG2;PRPF40A;PSMB2;PSMB4;PSMC5;PSMD1;PSMD2;PSMD7;PSMD9;PTOV1;RAB1A;RAB4A;RAB5IF;RABAC1;RAD21;RAI14;RBM3;RBM38;REEP3;REEP5;RERE;REST;RNPS1;ROR1;RPL7L1;RPN2;RSL24D1;RTF1;RTN3;SARNP;SDHA;SDHC;SEC23A;SF3B2;SKA2;SLC25A11;SMARCA4;SMARCA5;SMARCC1;SMARCD3;SPATS2L;STAT3;SUMO3;TBL1XR1;TCAF1;TIMMDC1;TIMP3;TLN1;TMED10;TMED9;TMEM147;TMEM245;TMEM59;TOP1;TPM3;TRIM28;TRIM44;TRIM63;UBE2K;UBE3A;UBXN1;UBXN4;UFC1;USP22;USP9X;UTRN;VAMP2;VEZT;WLS;XIRP1;YME1L1;YWHAG;YY1;ZCCHC24;ZFAND5;ZFR
CT2-R8,ZFX,0.457671752920631,0.0682,ABI2;ACTR2;ADD1;ANKRD11;ANXA11;ANXA3;ARID1A;ARL5A;ARPP19;ATXN7L3B;BCLAF1;BMPR2;BTF3L4;C7orf50;CD151;CD99;CDK16;CERS6;CHMP5;CKAP4;CUX1;DAG1;DCTN1;DCTN2;DDB1;DDX1;DDX3X;DENND5A;DLD;DUT;DYNC1LI1;EFEMP2;EIF2S3;EIF3I;EIF4G1;ENAH;ERP29;FAAP20;FARP1;FKBP8;FSTL1;GATA6;GCSH;GDI2;GNB1;GNB2;GNG10;GRN;GRSF1;HDAC2;HDDC2;HEPH;HIPK2;HNRNPM;HNRNPUL1;HSPA4;HSPG2;HUWE1;IL6ST;ILF2;IPO7;KDELR1;KIF13A;LAMB2;LAMC1;LAPTM4A;LARP1;LGALS3BP;LPP;LYPLA1;MAN1A2;MAPRE1;METTL5;MIEN1;MLEC;MPRIP;MRPS18C;MRPS7;MTDH;MTFR1L;MYADM;MYH10;NAA10;NHP2;NORAD;NPTN;P4HB;PA2G4;PAIP1;PDIA3;PDIA6;PERP;PFDN2;POLR2E;PRPF40A;PSMB2;PSMB4;PSMD2;PSMD7;PTOV1;RAB1A;RAB21;RABAC1;RAD21;RAD23B;RAI14;RBM3;REEP3;REEP5;RNPS1;ROR1;RPL7L1;RSF1;RTF1;RTN3;SARNP;SDHA;SDHC;SEC62;SEMA5A;SMARCA4;SMARCA5;SMARCC1;SPATS2L;TBL1XR1;TCAF1;TIMMDC1;TIMP3;TLN1;TMED10;TMEM147;TMEM245;TMEM59;TRIM28;UBE2K;UBXN1;UBXN4;USP11;USP22;VAMP2;WDR6;WLS;XPO4;YME1L1;YWHAG;YY1;ZCCHC24;ZNF207
CT2-R9,TBX15,0.456918857608252,0.0726,ABI2;ANKRD11;ANXA11;ARID1A;ARL5A;ARPP19;BCLAF1;BMPR2;BRD4;CADM1;CD151;CD99;CDK16;CKAP4;CUX1;DAG1;DDX1;DYNC1LI1;EFEMP2;EIF3I;EIF4G1;EIF4H;ENAH;FSTL1;GATA6;GDI2;GNB1;GRN;HDAC2;HIPK2;HNRNPA0;HNRNPM;HSPG2;HUWE1;IPO7;KDELR1;KDM5B;KIF13A;KRTCAP2;LAMB2;LAMC1;LAPTM4A;LGALS3BP;LPP;MIEN1;MLEC;MRPS7;MTDH;MYADM;MYH10;NORAD;P4HB;PACS1;PDIA3;PDIA6;PERP;PRPF40A;PSMB4;PSMD2;PSMD7;PTOV1;RABAC1;RAD21;RBM3;REEP5;RPL7L1;RPN2;RTF1;RTN3;SDHC;SEC62;SMARCA5;SMARCC1;TBL1XR1;TCAF1;TLN1;TMED10;TMEM147;TMEM167A;USP22;VAMP2;WLS;YME1L1;YWHAG
CT2-R10,PATZ1,0.456903879597013,0.0726,ABI2;ACTR2;ANKRD11;ANXA11;ARID1A;ARL5A;ATP6V1E1;ATXN7L3B;BCLAF1;BMPR2;BRD4;CD151;CD99;CDK16;CUX1;DAG1;DDB1;DDX1;EIF3I;EIF4G1;EIF4H;ENAH;FAAP20;FKBP8;FSTL1;GATA6;GDI2;GNB1;GNB2;GRN;HDAC2;HIPK2;HNRNPM;HSPA4;HSPG2;HUWE1;ILF2;IPO7;KDELR1;KIF13A;KRTCAP2;LAMB2;LAMC1;LAPTM4A;LGALS3BP;LPP;MAPRE1;MLEC;MRPS7;MTDH;MYADM;MYH10;NASP;NORAD;NPTN;P4HB;PA2G4;PACS1;PDIA3;PDIA6;PERP;POLR2E;PRMT2;PSMB4;PSMC1;PSMD2;PSMD7;PTOV1;RABAC1;RAD21;RAI14;RBM3;RBM8A;REEP5;RPL7L1;RPN2;RTF1;RTN3;SDHC;SEC62;SMARCA4;SNRPB;TCAF1;TCP1;TLN1;TMED10;TMEM147;TMEM245;TPM3;UBXN4;USP22;VAMP2;WLS;YWHAG;YY1;ZFAND5
CT2-R11,ZSC22,0.456446803404707,0.0726,COX17;DAG1;EIF4G1;ERP29;FSTL1;FUNDC2;GNB2;GRN;HNRNPM;HSPG2;HUWE1;IPO7;KDELR1;LGALS3BP;MLEC;MYADM;PA2G4;PDIA3;PDIA6;PRPF40A;RABAC1;RPN2;RTF1;SMARCC1;SRSF2;UBXN1
CT2-R12,EGR1,0.456229867361556,0.0748,ANKRD11;ANXA11;ARL5A;BMPR2;CD99;CUX1;DDB1;ENAH;FDPS;FKBP8;FSTL1;GDI2;GNB1;HIPK2;LAMC1;MAPRE1;MLEC;MTDH;P4HB;PDIA3;PDIA6;PERP;PRPF40A;PSMB4;RABAC1;REEP5;SMARCC1;TCAF1;TLN1;TMED10;VAMP2;YME1L1;YWHAG;YY1
CT2-R13,TAF1,0.456180365217822,0.0748,ABI2;ADD1;ADD3;ANKRD11;ANXA11;ARID1A;ARL5A;ARPP19;ASH1L;ATP6V1E1;ATXN7L3B;BCLAF1;BMPR2;C7orf50;CD151;CD99;CDK16;CHMP3;COPA;CTSD;CUX1;DAG1;DDB1;DDX1;DENND5A;DLD;DPYSL3;DUSP3;DYNC1LI1;EFEMP2;EIF2S3;EIF3I;EIF4G1;EIF4H;ENAH;ERP29;FAAP20;FAM136A;FAM3A;FARP1;FBXO9;FIBP;FKBP8;FSTL1;G3BP1;GATA6;GDI2;GNB1;GNB2;GRN;HAGH;HDAC2;HDDC2;HEPH;HIPK2;HIPK3;HNRNPM;HSPG2;HUWE1;IL6ST;ILF2;IPO7;KCNH2;KDELR1;KIF13A;KLHDC8B;KRTCAP2;LAMB2;LAMC1;LAPTM4A;LGALS3BP;LIMS2;LTBP1;LYPLA1;MAN1A2;MAPRE1;MCUR1;MIEN1;MITF;MLEC;MLF1;MMADHC;MPRIP;MRPS33;MRPS7;MTDH;MTFR1L;MYADM;NAA10;NASP;NFIC;NHP2;NORAD;NPNT;NPTN;NXN;P4HB;PA2G4;PACS1;PDIA3;PDIA6;PEA15;PERP;PLEKHJ1;POLR2E;PPM1G;PRDX4;PRPF40A;PSMB2;PSMB4;PSMC3;PSMC5;PSMD2;PSMD7;PSMD9;PTOV1;RAB13;RAB1A;RAB4A;RABAC1;RAD21;RAI14;RBM3;REEP3;REEP5;RERE;REST;RNPS1;ROR1;RPL7L1;RPN2;RSF1;RSL24D1;RTF1;RTN3;SDHA;SDHC;SEC23A;SEC62;SERINC1;SF3B2;SMARCA4;SMARCA5;SMARCD3;SPATS2L;STAT3;TBL1XR1;TCAF1;TCEA1;TIMMDC1;TIMP3;TLN1;TMED10;TMED9;TMEM106C;TMEM147;TMEM245;TMEM59;TOMM22;TOP1;TRIM28;TRIM44;UBE2E3;UBE2K;UBXN1;UBXN4;USP11;USP22;USP9X;UTRN;VAMP2;VEZT;XIRP1;YME1L1;YY1;ZCCHC24;ZFAND5;ZFAND6;ZFR;ZNF207
CT2-R14,WT1,0.455093241851547,0.0792,ANKRD11;ANXA11;ARID1A;ARL5A;ATP6V1E1;BRD4;CADM1;CD151;CD99;CDK16;CUX1;DAG1;DDB1;DECR1;DYNC1LI1;EIF2S3;FAAP20;FKBP8;FSTL1;GATA6;GDI2;GNB1;GNB2;GRN;HDAC2;HIPK2;HUWE1;IPO7;JTB;KDELR1;LAMB2;LAMC1;LAPTM4A;LGALS3BP;LPP;MLEC;MRPL21;MTDH;MYADM;P4HB;PA2G4;PDIA6;PERP;PSMB4;PSMD2;RAB11A;RABAC1;REEP5;RTF1;RTN3;TMED10;TMEM147;USP22;YWHAG;YY1
CT2-R15,KLF12,0.453021245266348,0.1078,ACTR2;ADD1;ANKRD11;ANXA11;ARID1A;ARPP19;ATP6V1E1;BCLAF1;BMPR2;BRD4;CADM1;CARHSP1;CD151;CD99;CDK16;CSNK2A1;CUX1;DDB1;DYNC1LI1;EIF2S3;EIF4G1;EIF4H;ENAH;ERP29;FAAP20;FDPS;FKBP8;FSTL1;GATA6;GDI2;GNB1;GNB2;GRN;HDAC2;HEPH;HIPK2;HNRNPA0;HSPG2;KDELR1;KDM5B;KIF13A;KRTCAP2;LAMB2;LAMC1;LAPTM4A;LGALS3BP;LIMS2;LPP;MAPRE1;MLEC;MRPL28;MRPS7;MTDH;MYADM;NPTN;NUTF2;P4HB;PACS1;PDIA3;PDIA6;PERP;PRPF40A;PSMB4;PSMD2;PTOV1;RAI14;RBM3;REEP5;RSL24D1;RTN3;SDHA;SDHC;SMARCC1;TCAF1;TIMP3;TLN1;TMEM147;TMEM245;TNFRSF12A;TRIM28;UBXN4;USP22;VAMP2;YME1L1;YWHAG;YY1;ZCCHC24
CT2-R16,KLF5,0.448618512088456,0.1518,ARID1A;CD151;CUX1;FSTL1;GRN;HDAC2;HUWE1;KDELR1;LAMC1;LAPTM4A;LGALS3BP;MLEC;MTDH;MYADM;PDIA6;PERP;RABAC1;REEP5;RPN2;TFG;UBA3
CT2-R17,VEZF1,0.447705602594286,0.1738,ABI2;ANKRD11;ANXA11;ARID1A;ARL5A;ATP6V1E1;BCLAF1;BMPR2;BRD4;CADM1;CD151;CD99;CDK16;CUX1;DAG1;DCTN1;DDB1;DDX1;DENND5A;DNAJC7;DYNC1LI1;EFEMP2;EIF3I;EIF4G1;ENAH;ERP29;FSTL1;GATA6;GDI2;GNB1;GNB2;GRN;HDAC2;HEPH;HIPK2;HNRNPM;HSPA4;HSPG2;HUWE1;IPO7;KDELR1;KDM5B;KIF13A;LAMB2;LAMC1;LAPTM4A;LGALS3BP;LIMS2;LPP;MLEC;MTDH;MTFR1L;MYADM;NFIC;NORAD;NPNT;NPTN;P4HB;PA2G4;PDIA3;PDIA6;PERP;PPM1G;PRPF40A;PSMB4;PSMD2;PSMD7;PTOV1;RAB1A;RABAC1;RAD21;RAI14;RBM3;RBM8A;REEP3;REEP5;RERE;RPL7L1;RPN2;RSL24D1;RTF1;RTN3;RUNX1T1;SDHA;SDHC;SF3B2;SMARCA5;SMARCC1;SNRPB;SPATS2L;TCAF1;TIMP3;TLN1;TMED10;TMEM147;TMEM230;TMEM245;UBXN4;USP22;WLS;WWTR1;XIRP1;YME1L1;YWHAG;YY1;ZFAND5
CT2-R18,ZN467,0.446782730052093,0.1958,ACTR3;ANKRD11;ARID1A;ARL5A;ATP6V1E1;BRD4;CADM1;CD151;CD99;CDK16;CUX1;DAG1;EIF4G1;FAAP20;FKBP8;FSTL1;GATA6;GDI2;GRN;HDAC2;HEPH;HIPK2;HUWE1;IPO7;JTB;KDELR1;KIF13A;KRTCAP2;LAMB2;LAMC1;LAMTOR2;LAPTM4A;LGALS3BP;LPP;LRRC10;LTBP1;MAPRE1;MLEC;MTDH;MYADM;NORAD;P4HB;PA2G4;PDIA6;PERP;PSMB4;PSMD2;RABAC1;RBM3;REEP5;RTF1;RTN3;SDHC;TMED10;TRIM63;XIRP1;YWHAG;YY1
CT2-R19,RXRA,0.445452790382913,0.2354,ADD1;ANKRD11;ANXA11;ARID1A;ARPP19;ASH1L;ATP6V1E1;BMPR2;BRD4;CADM1;CD151;CD99;CDK16;CPEB4;CUX1;DAG1;DDB1;DDX1;DENND5A;DYNC1LI1;EIF3I;EIF4EBP2;EIF4G1;EIF4H;ENAH;ERP29;FAAP20;FSTL1;GATA6;GDI2;GNB1;GNB2;GRN;HDAC2;HEPH;HIPK2;HIPK3;HNRNPM;HSPG2;HUWE1;IPO7;KDELR1;KIF13A;KRTCAP2;LAMB2;LAMC1;LAPTM4A;LGALS3BP;LIMS2;LPP;LRRC49;LTBP1;MAN1A2;MAPRE1;MASP1;MITF;MLEC;MRPS7;MTDH;MTFR1L;MYADM;NASP;NFIC;NORAD;NPNT;NPTN;P4HB;PDIA3;PDIA6;PERP;PHF20L1;PLEKHJ1;POLR2E;PPM1G;PSMB4;PSMC1;PSMD2;PSMD7;PTOV1;RAB1A;RAB4A;RAD21;RBM3;REEP3;REEP5;RPL7L1;RPN2;RSF1;RSL24D1;RTN3;SDHA;SDHC;SEC62;SF3B2;SPATS2L;SRSF2;STAT3;TCAF1;TIMP3;TLN1;TMEM245;TOMM22;TRIM63;UBE3A;UBXN4;USP22;USP9X;VAMP2;WLS;XIRP1;YME1L1;YWHAG;YY1;ZCCHC24;ZFAND5
CT2-R20,PRDM6,0.443513489711874,0.2684,ATP6V1E1;CDK16;GATA6;GRN;HUWE1;LPP;MYADM;PDIA6;PSMD7;REEP5;RTN3;USP22
CT2-R21,ZN341,0.439019293189945,0.3784,CD151;KDELR1;LAMC1;LAPTM4A;LGALS3BP;MYADM;PDIA6;YY1
CT2-R22,AP2B,0.435357155893778,0.5148,CD151;DLD;GRN;LAMC1;LGALS3BP;MLEC;MTDH;MYADM;PDIA6;RAB21;REEP5;TMEM245
