index,tf_name,rss,rss_pval,gene_symbol
CT1-R11,E2F1,0.256714298098808,1,ANLN;ATAD2;BIRC5;CCNB1;CDKN3;CENPF;CENPU;CKS1B;CKS2;DLGAP5;KIF20B;MAD2L1;MKI67;PRC1;RDH14;TPX2
CT1-R12,TBX1,0.252709040563766,1,ANLN;ATAD2;AURKB;BIRC5;CARS2;CCNB1;CENPF;CKS1B;CKS2;HMMR;MAD2L1;MKI67;NUSAP1;PRC1;TPX2;ZWINT
CT1-R13,PAX5,0.250539040805233,1,ANLN;ATAD2;ATAD5;BIRC5;BRCA2;C21orf58;CDK1;CDKN3;CENPE;CENPF;CENPU;CHEK1;CKS1B;CKS2;CLSPN;CYP20A1;DLGAP5;FBXO5;KIF11;KIF20B;KIF22;KPNA1;MAD2L1;MCM4;MCM7;MKI67;MYBL2;NCAPG;NUSAP1;PCLAF;PRC1;RRM2;TMED5;TOP2A;TYMS;UBE2C;UBE2T;UTP18;VRK1;ZWINT
CT1-R14,NFYA,0.250374015711799,1,ASPM;AURKB;CCNB1;CENPF;CKS1B;CKS2;GTSE1;MKI67;PCLAF;TOP2A;TPX2;UBE2C;UBE2T
CT1-R15,NRF1,0.250354787983507,1,ANLN;ATAD2;ATAD5;AURKA;BIRC5;CCNB1;CCNB2;CDK1;CDKN3;CENPF;CENPU;CKS1B;CKS2;CLSPN;DIAPH3;DIP2A;FANCI;G2E3;GGH;GTSE1;HAPLN1;HMMR;KIF11;KIF20B;KIF22;KNL1;MAD2L1;MAGI1;MAP4K3;MCM7;MKI67;MYBL2;NUSAP1;ORC6;PCNA;PRC1;RNGTT;SMC4;SPICE1;TACC3;TOP2A;TPX2;TUBG1;TYMS;UBE2T;VRK1;YEATS4;ZWINT
CT1-R16,KLF5,0.250008571745088,1,ANLN;ATAD2;BIRC5;CCNB2;CDK1;CDKN3;CEMIP2;CENPE;CENPF;CENPK;CENPU;CHEK1;CKS1B;CKS2;CLSPN;DIAPH3;DLG3;DLGAP5;EXOSC9;FANCI;GGH;GTSE1;HMMR;KIF11;KIF20B;KNL1;MAD2L1;MCM3;MCM4;MCM7;MKI67;MYBL2;NUSAP1;PBK;PCLAF;PCNA;PDZD8;PRC1;RANBP17;TOP2A;TPX2;TYMS;UBE2C;UBE2T;YEATS4;ZWINT
CT1-R17,KLF16,0.247056615835243,1,ACTL6A;AKT2;ALMS1;ANLN;ATAD2;ATAD5;AURKA;AURKB;BARD1;BIRC5;BRCA2;BUB1B;CCM2;CCNA2;CCNB1;CCNB2;CDK1;CDKN3;CDT1;CENPE;CENPF;CENPK;CENPQ;CENPU;CEP44;CEP57L1;CEP68;CERK;CHEK1;CHRAC1;CKAP2L;CKS1B;CKS2;CLSPN;CNOT11;CNP;COL2A1;CYP20A1;DENND5A;DEPDC1;DIAPH3;DLG3;DLGAP5;DYNLL2;DZIP1;ECT2;FANCI;FEN1;FN3KRP;G2E3;GGH;GTSE1;HAUS6;HMGB2;HMMR;HPRT1;ICMT;ILRUN;INIP;KIF11;KIF20B;KIF22;KIF2C;KIF4A;KNL1;KNTC1;LAS1L;LMNB2;MAD2L1;METTL21A;MKI67;MPC1;MSX2;MTMR4;MXD3;MYBL2;MZT1;NCAPG;NDC80;NNAT;NOM1;NUP43;NUP93;NUSAP1;ORC6;PAIP2B;PBK;PCLAF;PPAT;PRC1;PSMG4;PTPN9;PTTG1;RGS12;RRM2;SAC3D1;SAP30;SF3B4;SFT2D1;SGO2;SLC39A6;SMC2;TACC3;TMED5;TMEM237;TMUB1;TOP2A;TPX2;TRABD;TRRAP;TRUB2;TUBG1;TYMS;UBE2C;UBE2T;VRK1;WDHD1;YEATS4;ZMYM1;ZWINT
CT1-R18,NFYB,0.242384624575834,1,ANLN;ARL6IP6;ASPM;ATAD2;ATAD5;AURKB;BIRC5;CCDC85C;CCNB1;CCNB2;CENPF;CENPK;CENPU;CKAP2;CKAP2L;CKS1B;CKS2;DEPDC1;DLGAP5;ECT2;GGH;GTSE1;HMGB2;KIF20B;MCM7;MKI67;ORC6;PBK;PCLAF;RFC3;RRM1;TACC3;TOP2A;TPX2;UBE2C;UBE2T;ZWINT
CT1-R19,SP3,0.241127831016663,1,ABCD3;ACBD5;ANKLE2;ANLN;ARHGAP35;ASPM;ATAD2;ATAD5;AURKA;AURKB;BARD1;BIRC5;BOLA2;BRCA2;C21orf58;CCDC85C;CCNA2;CCNB1;CCNB2;CDK1;CDKN3;CENPE;CENPF;CENPK;CENPU;CEP44;CHEK1;CKAP2;CKAP2L;CKS1B;CKS2;CLSPN;CS;DEPDC1;DHCR24;DIAPH3;DLGAP5;ECT2;EMC8;EXOSC10;FANCI;FUNDC1;G2E3;GABPB1;GFM1;GGH;GOSR2;GTSE1;HMGB2;HMMR;HSPH1;KIF11;KIF20B;KIF22;KIF4A;KNL1;LARP1B;MAD2L1;MBD2;MCM3;MCM4;MCM7;MELK;MKI67;MTHFD1L;MXD3;MYBL2;NCAPD2;NCAPG;NDC80;NUF2;NUSAP1;ORC6;PAK4;PBK;PCLAF;PHTF2;PPP2R5A;PRC1;PRR11;PSME4;PTTG1;RAD51AP1;RASSF8;RECQL;RFC3;RPA2;RRM2;SENP5;SETD3;SGO2;SMC4;STAT1;TACC3;TMEM237;TMX1;TOP2A;TPX2;TUBG1;TYMS;UBE2C;UBE2T;UFD1;VRK1;ZNF814;ZWINT
CT1-R20,NFYC,0.240844792131134,1,AURKB;CCNB1;CENPF;CHRAC1;CKS1B;CKS2;DLGAP5;GTSE1;KIF20B;KNL1;MKI67;PCLAF;PRC1;TOP2A;TPX2;UBE2C;UBE2T;ZWINT
CT1-R21,EGR2,0.237312963459742,1,ANLN;ASPM;AURKB;BIRC5;CCNB1;CDKN3;CENPE;CENPF;CENPU;CKS1B;CKS2;DLGAP5;HMMR;KIF20B;KNL1;MAD2L1;MKI67;NCAPD2;NUSAP1;PCLAF;PRC1;PTTG1;RAB22A;TOP2A;TPX2;TYMS;UBE2C;UBE2T;ZWINT
CT1-R22,PO4F1,0.236013082007451,1,ANLN;ASPM;AURKB;BIRC5;CCNA2;CDK1;CENPE;CENPF;CKS1B;HMMR;KIF20B;KNL1;MAD2L1;MKI67;NCAPG;NNT;NUF2;PCLAF;PRC1;PTTG1;SMC4;TOP2A;TPX2;UBE2C
CT1-R23,ZN341,0.234586251503304,1,ANLN;ATAD2;AURKB;BIRC5;BRCA2;C21orf58;CDK1;CENPE;CENPF;CENPK;CENPU;CKS1B;DIAPH3;DLGAP5;FANCI;HILPDA;KIF11;KIF20B;MAD2L1;MKI67;MYBL2;NCAPG;NUSAP1;PBK;PCLAF;PRC1;RAD51AP1;TOP2A;TPX2;TYMS;UBE2T;VRK1;ZWINT
CT1-R24,PATZ1,0.233063525839437,1,ANLN;ARL6IP6;ASPM;ATAD2;ATAD5;AURKA;AURKB;BIRC5;BRCA2;BUB1;C21orf58;CCNA2;CCNB1;CCNB2;CDC20;CDK1;CDKN3;CDT1;CENPE;CENPF;CENPK;CENPU;CHEK1;CKLF;CKS1B;CKS2;CLSPN;DDX39A;DEPDC1;DIAPH3;DLGAP5;ECT2;FANCI;G2E3;G6PD;GGH;GINS2;GTSE1;HMGB2;HMMR;KIF11;KIF20B;KIF22;KIF2C;KNL1;MAD2L1;MAGI1;MCM3;MCM4;MCM7;MDM2;MKI67;MMS22L;NCAPD2;NCAPG;NUF2;NUSAP1;ORC6;PBK;PCLAF;PCNA;POLD3;PRC1;PTTG1;RAD51AP1;RFC4;RRM2;SGO2;SMC4;SMIM4;TACC3;TOP2A;TPX2;TUBG1;TUSC2;TYMS;UBE2C;UBE2T;VRK1;YEATS4;ZWINT
