index	tf_name	rss	rss_pval	gene_symbol	gene_id
CT1-R1	HMGA1	0.598479685749179	1	ANKLE2,AQR,ARID3B,CCNL2,DNAJB11,FBXW4,PSME4,RBM23,REV3L	ENSG00000176915,ENSG00000021776,ENSG00000179361,ENSG00000221978,ENSG00000090520,ENSG00000107829,ENSG00000068878,ENSG00000100461,ENSG00000009413
CT1-R2	MXI1	0.592293396190871	1	ACTR6,ANKHD1,EXOSC6,G6PC3,PNPT1,POLE3,RAB5B,RBM23,RRP1B,UBAP2,VPS37A	ENSG00000075089,ENSG00000131503,ENSG00000223496,ENSG00000141349,ENSG00000138035,ENSG00000148229,ENSG00000111540,ENSG00000100461,ENSG00000160208,ENSG00000137073,ENSG00000155975
CT1-R3	LHX6	0.590525040198056	1	ARID3B,CSNK1G3,FBXW4,FLOT2,GYS1,NFAT5,PRKCI,SECISBP2L,THRA,ZNF609	ENSG00000179361,ENSG00000151292,ENSG00000107829,ENSG00000132589,ENSG00000104812,ENSG00000102908,ENSG00000163558,ENSG00000138593,ENSG00000126351,ENSG00000180357
CT1-R4	SALL4	0.590181287130335	1	ALAS1,APBB1,ARID3B,BCL2L12,CXXC4,EPB41L2,PEMT,SZRD1,TMX1,UXS1,ZC3H18	ENSG00000023330,ENSG00000166313,ENSG00000179361,ENSG00000126453,ENSG00000168772,ENSG00000079819,ENSG00000133027,ENSG00000055070,ENSG00000139921,ENSG00000115652,ENSG00000158545
CT1-R5	PRDM6	0.586989482882191	1	BTBD1,CALU,CEP63,CHMP1B,CNOT6,COX16,FAM126A,HAUS1,HSD17B12,HSF2,NOL11,NUP93,OSBP,PRKCI,SLAIN2,SNX27,TMED10,TMEM181,TTF1,VEZF1,WDR83OS	ENSG00000064726,ENSG00000128595,ENSG00000182923,ENSG00000255112,ENSG00000113300,ENSG00000133983,ENSG00000122591,ENSG00000152240,ENSG00000149084,ENSG00000025156,ENSG00000130935,ENSG00000102900,ENSG00000110048,ENSG00000163558,ENSG00000109171,ENSG00000143376,ENSG00000170348,ENSG00000146433,ENSG00000125482,ENSG00000136451,ENSG00000105583
CT1-R6	HXC10	0.586535630332973	1	CAPN1,CAPN3,DNAJB11,KCTD20,LIG3,LMNB1,MPHOSPH9,PNPT1,POLR3K,SMARCAD1,TMEM181,TMEM97,ZNF281,ZNF322	ENSG00000014216,ENSG00000092529,ENSG00000090520,ENSG00000112078,ENSG00000005156,ENSG00000113368,ENSG00000051825,ENSG00000138035,ENSG00000161980,ENSG00000163104,ENSG00000146433,ENSG00000109084,ENSG00000162702,ENSG00000181315
CT1-R7	HAND1	0.585902526990496	1	ACTR6,AP5M1,BOLA2,BSDC1,CDC14B,CFAP36,ERLIN2,HDAC1,NAA15,OTUD4,REV3L,RRP1B,SZRD1,TMEM181	ENSG00000075089,ENSG00000053770,ENSG00000183336,ENSG00000160058,ENSG00000081377,ENSG00000163001,ENSG00000147475,ENSG00000116478,ENSG00000164134,ENSG00000164164,ENSG00000009413,ENSG00000160208,ENSG00000055070,ENSG00000146433
CT1-R8	HMX1	0.585878723593151	1	ADAMTSL4-AS1,ERLIN2,GALNT2,LIG3,MCL1,NBAS,REV3L,SOCS4	ENSG00000143384,ENSG00000147475,ENSG00000143641,ENSG00000005156,ENSG00000151779,ENSG00000009413,ENSG00000180008
CT1-R9	E2F4	0.584776097805785	1	ANKLE2,AQR,ARID3B,BOLA2,CCNL2,DNAJB11,DNAJC13,FBXW4,GPS1,LIG3,PSME4,RAPGEF2,RBM23,REV3L,SLC16A1-AS1,TIMM23,UBE2Q1	ENSG00000176915,ENSG00000021776,ENSG00000179361,ENSG00000183336,ENSG00000221978,ENSG00000090520,ENSG00000138246,ENSG00000107829,ENSG00000169727,ENSG00000005156,ENSG00000068878,ENSG00000109756,ENSG00000100461,ENSG00000009413,ENSG00000226419,ENSG00000265354,ENSG00000160714
CT1-R10	KLF12	0.583944429649342	1	ADAMTSL4-AS1,ARHGAP1,ARID3B,BARD1,BCL2L12,BOLA2,BTBD1,CCNL2,CHMP1B,CNOT6,DNAJC13,EBNA1BP2,EHMT1,ERLIN2,FAF2,FAM126A,FAM168B,GMNN,GYG1,HAUS1,LIG3,MAGOHB,MCL1,NCOR2,PARD3,PEMT,PITPNA,PNPLA8,PRKCI,PROX1,PRR12,PSME4,RMND5A,SEPHS2,SERINC5,SH3BP4,SLAIN2,SNX27,SOCS4,SRGAP2C,SZRD1,TASOR,TIMM50,UBAP2,UBE2Q1,ZNF217	ENSG00000143384,ENSG00000175220,ENSG00000179361,ENSG00000138376,ENSG00000126453,ENSG00000183336,ENSG00000064726,ENSG00000221978,ENSG00000255112,ENSG00000113300,ENSG00000138246,ENSG00000117395,ENSG00000181090,ENSG00000147475,ENSG00000113194,ENSG00000122591,ENSG00000152102,ENSG00000112312,ENSG00000163754,ENSG00000152240,ENSG00000005156,ENSG00000111196,ENSG00000196498,ENSG00000148498,ENSG00000133027,ENSG00000174238,ENSG00000135241,ENSG00000163558,ENSG00000117707,ENSG00000126464,ENSG00000068878,ENSG00000153561,ENSG00000179918,ENSG00000164300,ENSG00000130147,ENSG00000109171,ENSG00000143376,ENSG00000180008,ENSG00000171943,ENSG00000055070,ENSG00000163946,ENSG00000105197,ENSG00000137073,ENSG00000160714,ENSG00000171940
