index	tf_name	rss	rss_pval	gene_symbol	gene_id
CT1-R1	ZN341	0.310152902594303	1	FSTL1,APLP2,APP,BSG,CALR,CALU,CCDC80,CCND2,CD63,CD81,CDKN2B,CST3,DAD1,EIF4G2,FN1,HDLBP,HSP90B1,IGFBP2,ITGB1,ITM2C,JUND,KDELR1,KDELR2,KRTCAP2,KTN1,LAPTM4A,LAPTM4B,MALAT1,MAP1B,MARCKS,P4HB,PDIA3,PDIA6,PLD3,PLS3,PPIB,PRDX4,PSAP,RABAC1,RCN1,RPN2,RTN4,SEC11A,SON,SPARC,SPCS1,TAX1BP1,TIMP1,TMED9,TMEM59,TTC3	ENSG00000163430,ENSG00000084234,ENSG00000142192,ENSG00000172270,ENSG00000179218,ENSG00000128595,ENSG00000091986,ENSG00000118971,ENSG00000135404,ENSG00000110651,ENSG00000147883,ENSG00000101439,ENSG00000129562,ENSG00000110321,ENSG00000115414,ENSG00000115677,ENSG00000166598,ENSG00000115457,ENSG00000150093,ENSG00000135916,ENSG00000130522,ENSG00000105438,ENSG00000136240,ENSG00000163463,ENSG00000126777,ENSG00000068697,ENSG00000104341,ENSG00000251562,ENSG00000131711,ENSG00000277443,ENSG00000185624,ENSG00000167004,ENSG00000143870,ENSG00000105223,ENSG00000102024,ENSG00000166794,ENSG00000123131,ENSG00000197746,ENSG00000105404,ENSG00000049449,ENSG00000118705,ENSG00000115310,ENSG00000140612,ENSG00000159140,ENSG00000113140,ENSG00000114902,ENSG00000106052,ENSG00000102265,ENSG00000184840,ENSG00000116209,ENSG00000182670
CT1-R2	KLF16	0.304068263366705	1	FSTL1,ANXA5,APLP2,APP,ATP6V1F,BSG,CALR,CALU,CCND2,CD81,CDKN2B,CST3,DDX5,EIF2S2,FN1,HDLBP,IGFBP2,KDELR1,KDELR2,KRTCAP2,KTN1,LAPTM4A,LAPTM4B,MALAT1,MAP1B,MARCKS,P4HB,PDIA3,PDIA6,PLD3,PLS3,PRDX4,PSAP,RABAC1,RCN1,RPN2,RTN4,SON,SOX4,SPARC,SPCS1,SPINT2,TAX1BP1,TMED9,TMEM59,TTC3	ENSG00000163430,ENSG00000164111,ENSG00000084234,ENSG00000142192,ENSG00000128524,ENSG00000172270,ENSG00000179218,ENSG00000128595,ENSG00000118971,ENSG00000110651,ENSG00000147883,ENSG00000101439,ENSG00000108654,ENSG00000125977,ENSG00000115414,ENSG00000115677,ENSG00000115457,ENSG00000105438,ENSG00000136240,ENSG00000163463,ENSG00000126777,ENSG00000068697,ENSG00000104341,ENSG00000251562,ENSG00000131711,ENSG00000277443,ENSG00000185624,ENSG00000167004,ENSG00000143870,ENSG00000105223,ENSG00000102024,ENSG00000123131,ENSG00000197746,ENSG00000105404,ENSG00000049449,ENSG00000118705,ENSG00000115310,ENSG00000159140,ENSG00000124766,ENSG00000113140,ENSG00000114902,ENSG00000167642,ENSG00000106052,ENSG00000184840,ENSG00000116209,ENSG00000182670
CT1-R3	KLF6	0.302535782662143	1	BAMBI,FSTL1,ANXA5,APP,ATP6V1F,BSG,CALR,CALU,CCDC80,CCND2,CD81,CDKN2B,CST3,DDX5,EIF2S2,FN1,HDLBP,HSP90B1,IGFBP2,ITGB1,KDELR1,KDELR2,KRTCAP2,LAPTM4A,LAPTM4B,MALAT1,MAP1B,MARCKS,P4HB,PDIA3,PDIA6,PLD3,PLS3,PRDX4,PRRC2C,PSAP,RABAC1,RCN1,RPN2,RTN4,SEC62,SON,SOX4,SPARC,SPCS1,SPINT2,TAX1BP1,TIMP1,TMED9,TMEM59,TTC3	ENSG00000095739,ENSG00000163430,ENSG00000164111,ENSG00000142192,ENSG00000128524,ENSG00000172270,ENSG00000179218,ENSG00000128595,ENSG00000091986,ENSG00000118971,ENSG00000110651,ENSG00000147883,ENSG00000101439,ENSG00000108654,ENSG00000125977,ENSG00000115414,ENSG00000115677,ENSG00000166598,ENSG00000115457,ENSG00000150093,ENSG00000105438,ENSG00000136240,ENSG00000163463,ENSG00000068697,ENSG00000104341,ENSG00000251562,ENSG00000131711,ENSG00000277443,ENSG00000185624,ENSG00000167004,ENSG00000143870,ENSG00000105223,ENSG00000102024,ENSG00000123131,ENSG00000117523,ENSG00000197746,ENSG00000105404,ENSG00000049449,ENSG00000118705,ENSG00000115310,ENSG00000008952,ENSG00000159140,ENSG00000124766,ENSG00000113140,ENSG00000114902,ENSG00000167642,ENSG00000106052,ENSG00000102265,ENSG00000184840,ENSG00000116209,ENSG00000182670
CT1-R4	SP4	0.250233486090741	1	BAMBI,DESI2,FSTL1,SLITRK4,ACTN1,ADGRA2,AP1S3,AP3D1,APP,BCAR1,BMP1,BSG,CALR,CALU,CCDC80,CCND2,CD200,CD63,CD81,CDC42,CEMIP2,CLIP1,COL3A1,CRTAP,CST3,CTSA,DCAF7,DCTN1,DEGS1,EIF4G2,F2R,FBLIM1,FBLN2,FCGRT,FKBP14,FLNB,FN1,FZD1,GOLGA2,HDLBP,HEG1,HSP90B1,IGFBP2,ITGB1,ITM2B,ITM2C,ITSN1,KDELR1,KDELR2,KDM5A,KIF13A,KRTCAP2,KTN1,LAMA5,LAPTM4A,LAPTM4B,LASP1,LUZP1,MALAT1,MAP1B,MARCKS,MMP14,NCKAP1,NUFIP2,P3H4,P4HB,PAFAH1B2,PCDH10,PDIA3,PDIA6,PLD3,PLS3,PLXNB2,PMEPA1,POLR2B,PPP4R2,PSAP,PTPRF,RAB2A,RAB6A,RABAC1,RCN1,SDF2,SEC11A,SEC61A1,SEC62,SON,SPARC,SSR2,SULF2,TGOLN2,TMEM59,TTC3,TTYH3,TXNRD1,UGCG,VEZT,WNK1,YIPF5,YWHAB,ZNF148	ENSG00000095739,ENSG00000121644,ENSG00000163430,ENSG00000179542,ENSG00000072110,ENSG00000020181,ENSG00000152056,ENSG00000065000,ENSG00000142192,ENSG00000050820,ENSG00000168487,ENSG00000172270,ENSG00000179218,ENSG00000128595,ENSG00000091986,ENSG00000118971,ENSG00000091972,ENSG00000135404,ENSG00000110651,ENSG00000070831,ENSG00000135048,ENSG00000130779,ENSG00000168542,ENSG00000170275,ENSG00000101439,ENSG00000064601,ENSG00000136485,ENSG00000204843,ENSG00000143753,ENSG00000110321,ENSG00000181104,ENSG00000162458,ENSG00000163520,ENSG00000104870,ENSG00000106080,ENSG00000136068,ENSG00000115414,ENSG00000157240,ENSG00000167110,ENSG00000115677,ENSG00000173706,ENSG00000166598,ENSG00000115457,ENSG00000150093,ENSG00000136156,ENSG00000135916,ENSG00000205726,ENSG00000105438,ENSG00000136240,ENSG00000073614,ENSG00000137177,ENSG00000163463,ENSG00000126777,ENSG00000130702,ENSG00000068697,ENSG00000104341,ENSG00000002834,ENSG00000169641,ENSG00000251562,ENSG00000131711,ENSG00000277443,ENSG00000157227,ENSG00000061676,ENSG00000108256,ENSG00000141696,ENSG00000185624,ENSG00000168092,ENSG00000138650,ENSG00000167004,ENSG00000143870,ENSG00000105223,ENSG00000102024,ENSG00000196576,ENSG00000124225,ENSG00000047315,ENSG00000163605,ENSG00000197746,ENSG00000142949,ENSG00000104388,ENSG00000175582,ENSG00000105404,ENSG00000049449,ENSG00000132581,ENSG00000140612,ENSG00000058262,ENSG00000008952,ENSG00000159140,ENSG00000113140,ENSG00000163479,ENSG00000196562,ENSG00000152291,ENSG00000116209,ENSG00000182670,ENSG00000136295,ENSG00000198431,ENSG00000148154,ENSG00000028203,ENSG00000060237,ENSG00000145817,ENSG00000166913,ENSG00000163848
CT1-R5	FOXJ3	0.232068069396509	1	AGRN,CD200,CTSA,CTSC,DCAF7,LUZP1,NCOR1,TGOLN2,TXNDC12,ZKSCAN1	ENSG00000188157,ENSG00000091972,ENSG00000064601,ENSG00000109861,ENSG00000136485,ENSG00000169641,ENSG00000141027,ENSG00000152291,ENSG00000117862,ENSG00000106261
CT1-R6	ZN263	0.226559794946517	1	DESI2,FSTL1,SLITRK4,AAK1,ADAM10,AGRN,AMOTL2,AP1S3,AP2A1,AP3D1,APP,BSG,CALR,CALU,CCDC80,CD200,CD63,CD81,CDKN2B,CEMIP2,CLIP1,COL3A1,CREB3L2,CRTAP,CST3,CTSA,CYFIP2,DCTN1,DDB1,DNAJB11,DNAJB9,DNAJC10,EEA1,EIF2S2,EIF4G2,FBLIM1,FBLN2,FLNB,FN1,FZD1,FZD2,GALNT10,GLS,GOLGA2,GSK3B,HEG1,HERPUD1,HES1,HOOK3,HSP90B1,IGFBP2,ITGB1,ITM2B,ITM2C,ITSN1,KDELR1,KDM5A,KIF13A,KLC1,KRTCAP2,KTN1,LAPTM4A,LAPTM4B,LASP1,LTBP3,LUZP1,MARCKS,MBNL2,MINDY2,MPHOSPH8,NAA20,NCOR1,NFE2L1,NOTCH2,NPC2,NPTN,NSD3,P3H4,P4HB,PCDH10,PDIA3,PDIA6,PLS3,PLXNB2,PMEPA1,POLR2B,PPP4R2,PRDX4,PRKAR2A,PRKCSH,PSAP,PSMC2,PTGFRN,PTPRF,RAB6A,RABAC1,RCN1,RNF8,RPN2,RTN4,SCARB2,SCRN1,SEC11A,SEC62,SMAD2,SON,SPARC,SPINT2,SSR4,TGOLN2,TIMP1,TMEM30A,TMEM59,TSPAN4,TTYH3,TXNDC12,TXNRD1,UBE2E1,UGCG,USP9X,UTRN,VEZT,WAC,WNK1,YIPF4,YIPF5,ZKSCAN1	ENSG00000121644,ENSG00000163430,ENSG00000179542,ENSG00000115977,ENSG00000137845,ENSG00000188157,ENSG00000114019,ENSG00000152056,ENSG00000196961,ENSG00000065000,ENSG00000142192,ENSG00000172270,ENSG00000179218,ENSG00000128595,ENSG00000091986,ENSG00000091972,ENSG00000135404,ENSG00000110651,ENSG00000147883,ENSG00000135048,ENSG00000130779,ENSG00000168542,ENSG00000182158,ENSG00000170275,ENSG00000101439,ENSG00000064601,ENSG00000055163,ENSG00000204843,ENSG00000167986,ENSG00000090520,ENSG00000128590,ENSG00000077232,ENSG00000102189,ENSG00000125977,ENSG00000110321,ENSG00000162458,ENSG00000163520,ENSG00000136068,ENSG00000115414,ENSG00000157240,ENSG00000180340,ENSG00000164574,ENSG00000115419,ENSG00000167110,ENSG00000082701,ENSG00000173706,ENSG00000051108,ENSG00000114315,ENSG00000168172,ENSG00000166598,ENSG00000115457,ENSG00000150093,ENSG00000136156,ENSG00000135916,ENSG00000205726,ENSG00000105438,ENSG00000073614,ENSG00000137177,ENSG00000126214,ENSG00000163463,ENSG00000126777,ENSG00000068697,ENSG00000104341,ENSG00000002834,ENSG00000168056,ENSG00000169641,ENSG00000277443,ENSG00000139793,ENSG00000128923,ENSG00000196199,ENSG00000173418,ENSG00000141027,ENSG00000082641,ENSG00000134250,ENSG00000119655,ENSG00000156642,ENSG00000147548,ENSG00000141696,ENSG00000185624,ENSG00000138650,ENSG00000167004,ENSG00000143870,ENSG00000102024,ENSG00000196576,ENSG00000124225,ENSG00000047315,ENSG00000163605,ENSG00000123131,ENSG00000114302,ENSG00000130175,ENSG00000197746,ENSG00000161057,ENSG00000134247,ENSG00000142949,ENSG00000175582,ENSG00000105404,ENSG00000049449,ENSG00000112130,ENSG00000118705,ENSG00000115310,ENSG00000138760,ENSG00000136193,ENSG00000140612,ENSG00000008952,ENSG00000175387,ENSG00000159140,ENSG00000113140,ENSG00000167642,ENSG00000180879,ENSG00000152291,ENSG00000102265,ENSG00000112697,ENSG00000116209,ENSG00000214063,ENSG00000136295,ENSG00000117862,ENSG00000198431,ENSG00000170142,ENSG00000148154,ENSG00000124486,ENSG00000152818,ENSG00000028203,ENSG00000095787,ENSG00000060237,ENSG00000119820,ENSG00000145817,ENSG00000106261
CT1-R7	TAF1	0.212008450965544	1	BAMBI,DESI2,FSTL1,MIER1,NIFK,SLITRK4,UBE2A,AAK1,ACSL3,ADAM10,AGRN,ANXA5,AP1S3,AP2A1,AP3D1,APLP2,APMAP,APP,ARHGAP10,ATP6V1F,BCAR1,BIRC6,BMP1,BSG,CCDC107,CCND2,CD200,CD81,CDKN2B,CEMIP2,CLIP1,CPD,CREB3L2,CRTAP,CST3,CTSA,DCAF7,DCTN1,DDB1,DDX42,DDX5,DEGS1,DERL2,DHX29,DICER1,DLGAP4,DNAJB11,DNAJC10,EEA1,EIF2S2,ERP44,ETF1,FBLN2,FCGRT,FKBP14,FLNC,FN1,FZD1,FZD2,GALNT10,GINM1,GLS,GNAQ,GOLGA2,GOLIM4,GORASP2,GSK3B,GTF2F1,HDLBP,HEG1,HES1,HOMER3,HOOK3,HSP90B1,HSPH1,IGFBP2,IRF2BP2,ITGB1,ITGB5,ITM2B,ITSN1,KCTD20,KDELR1,KDELR2,KDM5A,KIF13A,KRTCAP2,KTN1,LAMA5,LAPTM4A,LAPTM4B,LATS2,LRRC41,LTBP3,LUZP1,M6PR,MAP1B,MINDY2,MPHOSPH8,MRPL22,MRPL37,NAA20,NCKAP1,NCOR1,NFE2L1,NOTCH2,NPTN,NSD3,NUFIP2,OS9,P3H4,P4HB,PAFAH1B2,PCDH10,PDIA3,PDIA6,PHKB,PINK1,PLD3,PLS3,PLXNB2,PMEPA1,POLR2B,PPP2R5E,PPP4R2,PRDX4,PRKAR2A,PRKCSH,PRRC2C,PSAP,PTBP1,PTGFRN,QSOX1,RAB5A,RAB6A,RABAC1,RCN1,RDH10,REEP5,RPN2,RTN4,SCARB2,SDF2,SEC62,SLBP,SLC4A2,SLC9A3R2,SLIT2,SLMAP,SMAD2,SON,SORBS3,SOX11,SOX4,SPARC,SPCS1,SPINT2,SRSF4,SULF2,TAX1BP1,TCF4,TGOLN2,TIMP1,TMED9,TMEM205,TMEM30A,TMEM59,TNFAIP1,TNS1,TRIOBP,TRIP12,TSG101,TSPAN4,TTC3,TTYH3,TXNDC12,TXNRD1,UGCG,USP9X,UTRN,VEZT,WAC,WNK1,YIPF4,YIPF5,ZKSCAN1,ZNF148,ZNF462	ENSG00000095739,ENSG00000121644,ENSG00000163430,ENSG00000198160,ENSG00000155438,ENSG00000179542,ENSG00000077721,ENSG00000115977,ENSG00000123983,ENSG00000137845,ENSG00000188157,ENSG00000164111,ENSG00000152056,ENSG00000196961,ENSG00000065000,ENSG00000084234,ENSG00000101474,ENSG00000142192,ENSG00000071205,ENSG00000128524,ENSG00000050820,ENSG00000115760,ENSG00000168487,ENSG00000172270,ENSG00000159884,ENSG00000118971,ENSG00000091972,ENSG00000110651,ENSG00000147883,ENSG00000135048,ENSG00000130779,ENSG00000108582,ENSG00000182158,ENSG00000170275,ENSG00000101439,ENSG00000064601,ENSG00000136485,ENSG00000204843,ENSG00000167986,ENSG00000198231,ENSG00000108654,ENSG00000143753,ENSG00000072849,ENSG00000067248,ENSG00000100697,ENSG00000080845,ENSG00000090520,ENSG00000077232,ENSG00000102189,ENSG00000125977,ENSG00000023318,ENSG00000120705,ENSG00000163520,ENSG00000104870,ENSG00000106080,ENSG00000128591,ENSG00000115414,ENSG00000157240,ENSG00000180340,ENSG00000164574,ENSG00000055211,ENSG00000115419,ENSG00000156052,ENSG00000167110,ENSG00000173905,ENSG00000115806,ENSG00000082701,ENSG00000125651,ENSG00000115677,ENSG00000173706,ENSG00000114315,ENSG00000051128,ENSG00000168172,ENSG00000166598,ENSG00000120694,ENSG00000115457,ENSG00000168264,ENSG00000150093,ENSG00000082781,ENSG00000136156,ENSG00000205726,ENSG00000112078,ENSG00000105438,ENSG00000136240,ENSG00000073614,ENSG00000137177,ENSG00000163463,ENSG00000126777,ENSG00000130702,ENSG00000068697,ENSG00000104341,ENSG00000150457,ENSG00000132128,ENSG00000168056,ENSG00000169641,ENSG00000003056,ENSG00000131711,ENSG00000128923,ENSG00000196199,ENSG00000082515,ENSG00000116221,ENSG00000173418,ENSG00000061676,ENSG00000141027,ENSG00000082641,ENSG00000134250,ENSG00000156642,ENSG00000147548,ENSG00000108256,ENSG00000135506,ENSG00000141696,ENSG00000185624,ENSG00000168092,ENSG00000138650,ENSG00000167004,ENSG00000143870,ENSG00000102893,ENSG00000158828,ENSG00000105223,ENSG00000102024,ENSG00000196576,ENSG00000124225,ENSG00000047315,ENSG00000154001,ENSG00000163605,ENSG00000123131,ENSG00000114302,ENSG00000130175,ENSG00000117523,ENSG00000197746,ENSG00000011304,ENSG00000134247,ENSG00000116260,ENSG00000144566,ENSG00000175582,ENSG00000105404,ENSG00000049449,ENSG00000121039,ENSG00000129625,ENSG00000118705,ENSG00000115310,ENSG00000138760,ENSG00000132581,ENSG00000008952,ENSG00000163950,ENSG00000164889,ENSG00000065054,ENSG00000145147,ENSG00000163681,ENSG00000175387,ENSG00000159140,ENSG00000120896,ENSG00000176887,ENSG00000124766,ENSG00000113140,ENSG00000114902,ENSG00000167642,ENSG00000116350,ENSG00000196562,ENSG00000106052,ENSG00000196628,ENSG00000152291,ENSG00000102265,ENSG00000184840,ENSG00000105518,ENSG00000112697,ENSG00000116209,ENSG00000109079,ENSG00000079308,ENSG00000100106,ENSG00000153827,ENSG00000074319,ENSG00000214063,ENSG00000182670,ENSG00000136295,ENSG00000117862,ENSG00000198431,ENSG00000148154,ENSG00000124486,ENSG00000152818,ENSG00000028203,ENSG00000095787,ENSG00000060237,ENSG00000119820,ENSG00000145817,ENSG00000106261,ENSG00000163848,ENSG00000148143
CT1-R8	PRDM6	0.202099425031311	1	ADAM10,AP2A1,AP3D1,CD200,CHD9,COL4A6,CTSA,FCGRT,FKBP14,FLNB,GLS,ITSN1,KDM5A,LUZP1,MINDY2,PAFAH1B2,PCDH10,PHF14,PHLDB2,PTPRF,SEC61A1,SULF2,TGOLN2,UGCG,YIPF5	ENSG00000137845,ENSG00000196961,ENSG00000065000,ENSG00000091972,ENSG00000177200,ENSG00000197565,ENSG00000064601,ENSG00000104870,ENSG00000106080,ENSG00000136068,ENSG00000115419,ENSG00000205726,ENSG00000073614,ENSG00000169641,ENSG00000128923,ENSG00000168092,ENSG00000138650,ENSG00000106443,ENSG00000144824,ENSG00000142949,ENSG00000058262,ENSG00000196562,ENSG00000152291,ENSG00000148154,ENSG00000145817
CT1-R9	KLF15	0.201191510034233	1	APMAP,BCAR1,BMP1,CD200,CLIP1,DCAF7,FBLN2,FKBP14,FLNB,GALNT10,GOLGA2,HEG1,HYAL2,LUZP1,MMP14,MPLKIP,NPTN,P3H4,TTYH3,VLDLR	ENSG00000101474,ENSG00000050820,ENSG00000168487,ENSG00000091972,ENSG00000130779,ENSG00000136485,ENSG00000163520,ENSG00000106080,ENSG00000136068,ENSG00000164574,ENSG00000167110,ENSG00000173706,ENSG00000068001,ENSG00000169641,ENSG00000157227,ENSG00000168303,ENSG00000156642,ENSG00000141696,ENSG00000136295,ENSG00000147852
CT1-R10	RARB	0.201064895004345	1	NIFK,AP3D1,CD200,CD320,CHD9,CTSA,DEGS1,DENND5B,FCGRT,FLNB,ITGB5,KCNK6,LIMA1,LSM10,NFIC,OS9,PGM3,PNRC2,PPCS,PPP4R2,PROCR,PSMC2,PTBP1,RANBP2,SEC61A1,SEPHS2,SIKE1,SLC25A23,SLC9A3R1,SLC9A3R2,SRSF4,THOC2,TIMP2,TTYH3,TXNRD1,USP16,VPS25,WTAP	ENSG00000155438,ENSG00000065000,ENSG00000091972,ENSG00000167775,ENSG00000177200,ENSG00000064601,ENSG00000143753,ENSG00000170456,ENSG00000104870,ENSG00000136068,ENSG00000082781,ENSG00000099337,ENSG00000050405,ENSG00000181817,ENSG00000141905,ENSG00000135506,ENSG00000013375,ENSG00000189266,ENSG00000127125,ENSG00000163605,ENSG00000101000,ENSG00000161057,ENSG00000011304,ENSG00000153201,ENSG00000058262,ENSG00000179918,ENSG00000052723,ENSG00000125648,ENSG00000109062,ENSG00000065054,ENSG00000116350,ENSG00000125676,ENSG00000035862,ENSG00000136295,ENSG00000198431,ENSG00000156256,ENSG00000131475,ENSG00000146457
