"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"68","SAT1",6.84883273772685e-25,0.910741994012008,0.968,0.888,1.4552399801122e-20
"69","GAPDH",2.10923294201689e-24,0.578074314336837,0.998,1,4.48169815519748e-20
"70","TIMP3",2.11978586084741e-24,-0.554447621582348,0.251,0.585,4.50412099712858e-20
"71","TM4SF1",2.27400516690664e-24,0.802350142595017,0.576,0.207,4.83180617864323e-20
"72","RAC1",3.38613957197578e-24,0.432406050687361,0.999,0.995,7.19486936253415e-20
"73","EGLN3",4.44738741283075e-24,1.07924994557835,0.649,0.293,9.44980877478277e-20
"74","SOX2",4.48973821874253e-24,-0.475646137898602,0.274,0.612,9.53979576718413e-20
"75","TIMP1",5.61346030889073e-24,0.722421245249553,0.491,0.112,1.1927480464331e-19
"76","ANXA5",6.39639240331732e-24,0.653076648897502,0.866,0.729,1.35910545785686e-19
"77","LSP1",2.13986259587408e-23,-0.501875371339209,0.297,0.638,4.54678004371326e-19
"78","CTHRC1",2.36808422621702e-23,-0.611926443569565,0.772,0.936,5.03170536386592e-19
"79","ERO1A",3.61263968617644e-23,1.05566113801675,0.774,0.521,7.6761368051877e-19
"80","KRT10",7.32494880543149e-23,-0.923042477204841,0.845,0.941,1.55640512217808e-18
"81","CLCA2",8.33117107650623e-23,-0.743018761738656,0.838,0.926,1.77020723033604e-18
"82","H3F3A",1.06665443288082e-22,-0.403690132852828,0.993,1,2.26642733898516e-18
"83","HLA-B",1.09931402129534e-22,0.414640141129589,0.999,0.995,2.33582243244835e-18
"84","NDRG4",1.12333394707056e-22,-0.273852831336737,0.066,0.266,2.38685997073553e-18
"85","MT1X",1.38525565141946e-22,1.20634468618896,0.949,0.878,2.94339120813606e-18
"86","SLC7A8",2.12950865303939e-22,-0.742523606471322,0.401,0.67,4.52477998597809e-18
"87","CD47",3.50989295168485e-22,0.57772693356056,0.914,0.862,7.45782054373998e-18
"88","TMSB4X",4.09391262714891e-22,0.573486246255805,0.998,1,8.698745550166e-18
"89","CD59",5.48621304740643e-22,0.668597694493243,0.95,0.894,1.16571054831292e-17
"90","S100A8",6.92821585763671e-22,-0.79300885429662,0.967,1,1.47210730543065e-17
"91","KRT15",9.80683971920976e-22,-0.865405021977087,0.532,0.798,2.08375730353769e-17
"92","IGFBP7",1.13009472169744e-21,0.679932364893866,0.391,0.037,2.40122526466272e-17
"93","MSLN",3.68106813029797e-21,0.835132403484954,0.45,0.112,7.82153356325712e-17
"94","HLA-DRA",5.24151737780885e-21,-0.720899341595052,0.88,0.947,1.11371761243682e-16
"95","CAV1",7.73516960155697e-21,0.866142582560373,0.519,0.191,1.64356883693882e-16
"96","BGN",1.67566288730409e-20,0.870690558266437,0.558,0.25,3.56044850294372e-16
"97","SERPINB13",1.9616130029193e-20,0.669162114529765,0.968,0.941,4.16803530860293e-16
"98","LDHA",5.30441926004584e-20,0.648880076003653,0.982,0.957,1.12708300437454e-15
"99","GPX3",9.28665768405351e-20,-0.458073703864437,0.213,0.489,1.97322902470769e-15
"100","ENO1",1.18505766641598e-19,0.498405429663874,0.982,0.968,2.51801052960067e-15
"101","SLC26A6",1.37717403559925e-19,0.539823777068459,0.381,0.048,2.92621939084128e-15
"102","LAMB3",1.83524229629405e-19,0.801334103835482,0.866,0.707,3.89952283116561e-15
"103","ITGA3",2.67493930878848e-19,0.669256008159484,0.642,0.335,5.68371104331376e-15
"104","TAGLN2",3.71322975096164e-19,0.453376065638924,0.975,0.957,7.88987057484329e-15
"105","PLAT",4.1336380515671e-19,-0.562650664949916,0.115,0.335,8.78315413196976e-15
"106","IL32",5.72840692285334e-19,0.818830024247582,0.833,0.633,1.21717190296788e-14
"107","UPP1",9.46077021120326e-19,0.653914203038044,0.674,0.399,2.01022445447647e-14
"108","EPHX1",1.05970069323216e-18,-0.584193736411831,0.382,0.644,2.25165203297969e-14
"109","AL358334.2",1.17644883068885e-18,-0.265376282158625,0.073,0.261,2.49971847544766e-14
